Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2017-08-07;23.8233;23.9653;23.5167;23.678;94646685
2017-08-08;23.8353;24.572;23.8267;24.348;111490095
2017-08-09;24.0667;24.6667;23.93;24.2353;103231395
2017-08-10;24.1067;24.4433;23.644;23.6933;106035225
2017-08-11;23.798;24.084;23.5747;23.858;65380290
2017-08-14;24.3087;24.5107;24.1733;24.2533;67625835
2017-08-15;24.3467;24.366;23.958;24.1553;46158000
2017-08-16;24.2;24.4333;24.168;24.194;51101040
2017-08-17;24.0807;24.22;23.4393;23.4613;75174135
2017-08-18;23.5273;23.6;23.0533;23.164;80967960
2017-08-21;23.0547;23.0547;22.1233;22.524;97354320
2017-08-22;22.742;22.816;22.4917;22.7567;64730880
2017-08-23;22.5993;23.566;22.5537;23.518;74139135
2017-08-24;23.5013;23.7773;23.316;23.5287;68640060
2017-08-25;23.616;23.7127;23.1533;23.2033;52132365
2017-08-28;23.152;23.1567;22.648;23.044;56239320
2017-08-29;22.632;23.27;22.5833;23.1573;61040655
2017-08-30;23.3113;23.5647;23.1333;23.5453;51063285
2017-08-31;23.57;23.896;23.5213;23.7267;60985350
2017-09-01;23.7413;23.8393;23.5793;23.6933;45733425
2017-09-05;23.5867;23.6993;23.0593;23.306;57645420
2017-09-06;23.3;23.3987;22.7707;22.9687;61243515
2017-09-07;23.0653;23.4987;22.8967;23.374;63534090
2017-09-08;23.266;23.3187;22.82;22.8933;48920835
2017-09-11;23.4233;24.2473;23.3333;24.246;114774705
2017-09-12;24.2993;24.584;24.0267;24.1833;89500740
2017-09-13;24.2547;24.538;23.9727;24.4153;62580495
2017-09-14;24.2887;25.1973;24.1753;25.176;107571555
2017-09-15;24.9673;25.3333;24.8467;25.3207;81135270
2017-09-18;25.35;25.974;25.1787;25.6667;107689305
2017-09-19;25.3333;25.4927;24.9047;25.0067;96604125
2017-09-20;24.8667;25.2167;24.738;24.9273;73663245
2017-09-21;24.9933;25.122;24.3007;24.432;69189315
2017-09-22;24.4327;24.66;23.392;23.406;122165085
2017-09-25;23.5433;23.8313;22.8587;22.9993;113810925
2017-09-26;23.3953;23.416;22.7267;23.0167;107259480
2017-09-27;23.3267;23.4327;22.7;22.7313;90443940
2017-09-28;22.6587;22.85;22.36;22.64;79678155
2017-09-29;22.7907;22.9787;22.5733;22.7347;76486680
2017-10-02;22.8347;22.9133;22.3673;22.7687;78654270
2017-10-03;22.3933;23.2367;22.0853;23.2093;151898115
2017-10-04;23.4167;23.908;23.3067;23.6673;122228910
2017-10-05;23.7333;23.829;23.4233;23.676;62522415
2017-10-06;23.54;24.0067;23.4833;23.789;64168170
2017-10-09;23.31;23.45;22.8447;22.8627;111965265
2017-10-10;23.12;23.7087;23.0353;23.706;104588280
2017-10-11;23.5927;23.84;23.41;23.64;67429920
2017-10-12;23.53;23.9853;23.5093;23.712;61132785
2017-10-13;23.7987;23.8993;23.5787;23.7047;53084370
2017-10-16;23.584;23.632;23.144;23.3733;80601150
2017-10-17;23.394;23.748;23.338;23.7167;49354755
2017-10-18;23.7313;24.2;23.6087;23.9767;74042490
2017-10-19;23.704;23.8097;23.2133;23.454;75850830
2017-10-20;23.5127;23.6367;22.956;23.0067;73900005
2017-10-23;23.3253;23.33;22.4167;22.468;86105490
2017-10-24;22.5867;22.8533;22.4107;22.4893;67326390
2017-10-25;22.4467;22.5;21.5707;21.7227;128763060
2017-10-26;21.852;22.0153;21.5467;21.7447;75181305
2017-10-27;21.3167;21.6393;21.1107;21.3913;104551770
2017-10-30;21.2787;21.5853;21.15;21.3387;63815670
2017-10-31;21.3487;22.13;21.3453;22.102;85085205
2017-11-01;22.15;22.174;21.3507;21.4053;126860040
2017-11-02;20.0087;20.5793;19.5087;19.9507;296871240
2017-11-03;19.9667;20.4167;19.6753;20.406;133409610
2017-11-06;20.4667;20.5;19.934;20.1853;97237290
2017-11-07;20.068;20.4333;20.002;20.4033;79294800
2017-11-08;20.3667;20.4593;20.0867;20.2873;70882650
2017-11-09;20.1667;20.2973;19.7533;20.1993;81605025
2017-11-10;20.1667;20.5573;20.1233;20.1993;69328680
2017-11-13;20.0087;21.12;19.9407;21.0267;113618130
2017-11-14;21;21.09;20.46;20.58;84981645
2017-11-15;20.4007;20.8327;20.1;20.7533;89282760
